ship_name,operator,url,callsign,IMO_number,MMSI_number,crew,capacity
Explorer of the Seas,Royal Caribbean,https://en.wikipedia.org/wiki/Explorer_of_the_Seas,C6SE4,9161728,311316000,1180,3938
Freedom of the Seas,Royal Caribbean,https://en.wikipedia.org/wiki/MS_Freedom_of_the_Seas,C6UZ7,9304033,309906000,1360,4541
Grandeur of the Seas,Royal Caribbean,https://en.wikipedia.org/wiki/Grandeur_of_the_Seas,C6SE3,9102978,311315000,770,2446
Harmony of the Seas,Royal Caribbean,https://en.wikipedia.org/wiki/Harmony_of_the_Seas,C6BX8,9682875,311000396,2394,6780
Independence of the Seas,Royal Caribbean,https://en.wikipedia.org/wiki/Independence_of_the_Seas,C6WW4,9349681,309374000,1360,4370
Jewel of the Seas,Royal Caribbean,https://en.wikipedia.org/wiki/Jewel_of_the_Seas,C6FW9,9228356,311583000,859,2573
Liberty of the Seas,Royal Caribbean,https://en.wikipedia.org/wiki/Liberty_of_the_Seas,C6VQ8,9330032,309436000,1360,4960
Majesty of the Seas,Royal Caribbean,https://en.wikipedia.org/wiki/Majesty_of_the_Seas,C6FZ8,8819512,311734000,833,2863
Mariner of the Seas,Royal Caribbean,https://en.wikipedia.org/wiki/Mariner_of_the_Seas,C6FV9,9227510,311493000,1213,4001
Navigator of the Seas,Royal Caribbean,https://en.wikipedia.org/wiki/Navigator_of_the_Seas,C6FU4,9227508,311478000,1213,4000
Oasis of the Seas,Royal Caribbean,https://en.wikipedia.org/wiki/Oasis_of_the_Seas,C6XS7,9383936,311020600,2150,6780
Ovation of the Seas,Royal Caribbean,https://en.wikipedia.org/wiki/Ovation_of_the_Seas,C6BX9,9697753,311000397,1300,4905
Quantum of the Seas,Royal Caribbean,https://en.wikipedia.org/wiki/MS_Quantum_of_the_Seas,C6BH8,9549463,311000267,1300,4905
Radiance of the Seas,Royal Caribbean,https://en.wikipedia.org/wiki/Radiance_of_the_Seas,C6SE7,9195195,311319000,859,2546
Rhapsody of the Seas,Royal Caribbean,https://en.wikipedia.org/wiki/Rhapsody_of_the_Seas,C6UA2,9116864,311805000,765,2431
Serenade of the Seas,Royal Caribbean,https://en.wikipedia.org/wiki/Serenade_of_the_Seas,C6FV8,9228344,311492000,891,2580
Spectrum Of The Seas,Royal Caribbean,https://www.vesselfinder.com/vessels/SPECTRUM-OF-THE-SEAS-IMO-9778856-MMSI-311000749,C6DQ5,9778856,311000749,1550,4819
Symphony of the Seas,Royal Caribbean,https://en.wikipedia.org/wiki/Symphony_of_the_Seas,C6DF6,9744001,311000660,2200,6680
Vision of the Seas,Royal Caribbean,https://en.wikipedia.org/wiki/Vision_of_the_Seas,C6SE8,9116876,311321000,765,2514
Voyager of the Seas,Royal Caribbean,https://en.wikipedia.org/wiki/Voyager_of_the_Seas,C6SE5,9161716,311317000,1181,3938
Oasia,Saga Cruises,https://www.cruisemapper.com/ships/Oasia-629,9HA2415,7214715,248563000,380,766
Saga Pearl II,Saga Cruises,https://www.vesselfinder.com/vessels/SAGA-PEARL-II-IMO-8000214-MMSI-256878000,9HA2950,8000214,256878000,252,512
Saga Sapphire,Saga Cruises,https://en.wikipedia.org/wiki/MS_Saga_Sapphire,9HOF8,7822457,256208000,415,1158
Sagafjord,Saga Cruises,https://en.wikipedia.org/wiki/Sagafjord,C6ZU, 6416043,,350,620
Spirit of Adventure,Saga Cruises,http://www.shipspotting.com/gallery/photo.php?lid=1141910,9HA2295,7904889,248277000,530,999
Mandalay,Sail Windjammer,https://en.wikipedia.org/wiki/Mandalay_(ship),5IM672,7738383,677057200,28,72
Brahe,Saimaan Matkaverkko Ltd,https://en.wikipedia.org/wiki/MS_Brahe,LEJP,5345065,259167000,18,45
Polaris,Sakhalin-Kurily JSC,https://en.wikipedia.org/wiki/MS_Polaris,UBDF,6807395,273430670,36,201
Scenic Eclipse,Scenic Cruises,https://www.vesselfinder.com/vessels/SCENIC-ECLIPSE-IMO-9797371-MMSI-248526000,9HA4692,9797371,248526000,172,228
Sea Cloud,Sea Cloud Cruises,https://en.wikipedia.org/wiki/Sea_Cloud,9HOM2,8843446,256084000,60,64
Sea Cloud II,Sea Cloud Cruises,https://en.wikipedia.org/wiki/Sea_Cloud_II,9HUE6,9171292,248953000,63,96
Seabourn Odyssey,Seabourn Cruise Line,https://en.wikipedia.org/wiki/Seabourn_Odyssey,C6XC6,9417086,309416000,335,540
Seabourn Quest,Seabourn Cruise Line,https://en.wikipedia.org/wiki/Seabourn_Quest,C6YZ5,9483126,311038900,335,540
Seabourn Sojourn,Seabourn Cruise Line,https://en.wikipedia.org/wiki/Seabourn_Sojourn,C6YA5,9417098,311027100,330,540
Seabourn Encore,Seabourn Cruises,https://www.vesselfinder.com/vessels/SEABOURN-ENCORE-IMO-9731171-MMSI-311000464,C6CG4,9731171,311000464,330,638
Seabourn Ovation,Seabourn Cruises,https://www.vesselfinder.com/vessels/SEABOURN-OVATION-IMO-9764958-MMSI-311000585,C6CV5,9764958,311000585,330,638
SeaDream I,SeaDream Yacht Club,https://en.wikipedia.org/wiki/SeaDream_I,C6PW8,8203438,308908000,100,112
SeaDream II,SeaDream Yacht Club,https://en.wikipedia.org/wiki/SeaDream_II,C6PW9, 8203440,308311000,100,112
World Odyssey,Semester at Sea,https://en.wikipedia.org/wiki/MS_World_Odyssey,C6BZ6,9141807,311000410,90,520
Ola Esmeralda,Servicios Acuaticos Venezuela,https://en.wikipedia.org/wiki/MV_Ola_Esmeralda_(2009),YYLS,6613328,775509000,200,472
Turama,Sete Yacht Management,https://www.vesselfinder.com/vessels/TURAMA-IMO-8907216-MMSI-403051000,HZFR,8907216,403051000,60,70
Silver Cloud,Silversea Cruises,https://en.wikipedia.org/wiki/Silver_Cloud_(ship),C6MQ5,8903923,309027000,222,302
Silver Discoverer,Silversea Cruises,https://en.wikipedia.org/wiki/Silver_Discoverer,C6OZ3,8800195,309913000,70,154
Silver Explorer,Silversea Cruises,https://en.wikipedia.org/wiki/Silver_Explorer,C6TA8,8806747,311562000,118,173
Silver Galapagos,Silversea Cruises,https://www.vesselfinder.com/vessels/SILVER-GALAPAGOS-IMO-8708660-MMSI-735057575,HC4403,8708660,735057575,75,120
Silver Muse,Silversea Cruises,https://www.vesselfinder.com/vessels/SILVER-MUSE-IMO-9784350-MMSI-311000637,C6DC5,9784350,311000637,408,691
Silver Shadow,Silversea Cruises,https://en.wikipedia.org/wiki/Silver_Shadow_(ship),C6FN6,9192167,308628000,295,466
Silver Spirit,Silversea Cruises,https://en.wikipedia.org/wiki/MS_Silver_Spirit,C6XU6,9437866,311022500,412,648
Silver Whisper,Silversea Cruises,https://en.wikipedia.org/wiki/Silver_Whisper,C6FN7,9192179,308322000,295,466
Silver Wind,Silversea Cruises,https://en.wikipedia.org/wiki/MS_Silver_Wind,C6FG2,8903935,308814000,208,355
Siritara Ocean Queen,Siritara Enterprise,https://en.wikipedia.org/wiki/MS_Siritara_Ocean_Queen,HSB3052,5414971,,134,333
Fairstar,Sitmar Cruises,https://en.wikipedia.org/wiki/TSS_Fairstar,5MXH,5267732,,460,1868
Royal Clipper,Star Clippers,https://en.wikipedia.org/wiki/Royal_Clipper,9HA2796,8712178,215813000,106,227
Star Clipper,Star Clippers,https://en.wikipedia.org/wiki/Star_Clipper,9HA2513,8915445,248786000,72,170
Star Flyer,Star Clippers,https://en.wikipedia.org/wiki/Star_Flyer,9HA2512,8915433,248785000,72,170
Star Pisces,Star Cruises,https://en.wikipedia.org/wiki/Star_Pisces,C6AV5,8710857,311000164,750,1900
SuperStar Aquarius,Star Cruises,https://en.wikipedia.org/wiki/SuperStar_Aquarius,C6LG6,9008421,308273000,700,2156
SuperStar Gemini,Star Cruises,https://en.wikipedia.org/wiki/SuperStar_Gemini_(2012),C6LG5,9008419,308272000,700,2156
SuperStar Libra,Star Cruises,https://en.wikipedia.org/wiki/SuperStar_Libra,C6DM2,8612134,308188000,740,1500
Rex Fortune,Star Sail Investments Ltd,https://www.vesselfinder.com/vessels/REX-FORTUNE-IMO-7346934-MMSI-0,C6II5,7346934,308768000,200,512
Achille Lauro,StarLauro Cruises,https://en.wikipedia.org/wiki/MS_Achille_Lauro,IBHE,5390008,,300,1372
Achille Lauro,StarLauro Cruises,https://en.wikipedia.org/wiki/MS_Achille_Lauro,PIQF,5390008,,300,1372
Minerva,Swan Hellenic,https://www.vesselfinder.com/vessels/MINERVA-IMO-9144196-MMSI-248503000,9HA4677,9144196,248503000,160,394
Glen Massan ,The Majestic Line,https://www.vesselfinder.com/vessels/GLEN-MASSAN-IMO-0-MMSI-235034073,MLTN8,,235034073,4,11
Stella Australis,Transportes Maritimos Geo,https://www.vesselfinder.com/vessels/STELLA-AUSTRALIS-IMO-9534676-MMSI-725017800,CBST,9534676,725017800,62,210
Ventus Australis,Transportes Maritimos Terra,https://www.vesselfinder.com/vessels/VENTUS-AUSTRALIS-IMO-9805403-MMSI-725001586,CBVS,9805403,725001586,62,210
Mein Schiff 1,TUI Cruises,https://www.vesselfinder.com/vessels/MEIN-SCHIFF-1-IMO-9783564-MMSI-248513000,9HA4683,9783564,248513000,1000,2894
Mein Schiff 2,TUI Cruises,https://www.vesselfinder.com/vessels/MEIN-SCHIFF-2-IMO-9783576-MMSI-248956000,9HA4883,9783576,248956000,780,2669
Mein Schiff 3,TUI Cruises,https://en.wikipedia.org/wiki/Mein_Schiff_3,9HA3062,9641730,229090000,1000,2700
Mein Schiff 4,TUI Cruises,https://en.wikipedia.org/wiki/Mein_Schiff_4,9HA3513,9678408,229678000,1030,2790
Mein Schiff 5,TUI Cruises,https://en.wikipedia.org/wiki/Mein_Schiff_5,9HA3858,9753193,256235000,1030,2700
Mein Schiff 6,TUI Cruises,https://en.wikipedia.org/wiki/Mein_Schiff_6,9HA4330,9753208,249660000,1030,2700
Mein Schiff Herz,TUI Cruises,https://en.wikipedia.org/wiki/Mein_Schiff_Herz,9HJG9,9106302,249053000,900,1912
Americana,Unknown,https://www.vesselfinder.com/vessels/AMERICANA-IMO-8949472-MMSI-369039000,WNAI,8949472,,45,138
Plancius,Unknown,https://www.vesselfinder.com/vessels/PLANCIUS-IMO-7432044-MMSI-246573000,PBQK,7432044,246573000,47,116
Ocean Gala,US Shipmanagers,https://en.wikipedia.org/wiki/MS_Island_Escape,C6SK4,8002597,311368000,540,1760
Carissima,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/CARISSIMA-IMO-0-MMSI-211162570,DC8432,,211162570,40,150
Lale Andersen,Viking Ocean Cruises,https://www.myshiptracking.com/vessels/de-amsterdam-mmsi-211513900-imo-0,DC2226,,211513900,21,112
Verdi,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VERDI-IMO-0-MMSI-211162220,DC5388,,211162220,40,150
Viking Aegir,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-AEGIR-IMO-0-MMSI-269057408,HE7408,,269057408,50,190
Viking Alruna,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-ALRUNA-IMO-0-MMSI-269057550,HE7550,,269057550,50,190
Viking Alsvin,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-ALSVIN-IMO-0-MMSI-269057468,HE7468,,269057468,50,190
Viking Astrild,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-ASTRILD-IMO-0-MMSI-269057521,HE7521,,269057521,30,98
Viking Atla,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-ATLA-IMO-0-MMSI-269057421,HE7421,,269057421,50,190
Viking Baldur,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-BALDUR-IMO-0-MMSI-269057448,HE7448,,269057448,50,190
Viking Bestla,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-BESTLA-IMO-0-MMSI-269057467,HE7467,,269057467,50,190
Viking Beyla,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-BEYLA-IMO-0-MMSI-269057520,DMBU,,269057520,30,98
Viking Bragi,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-BRAGI-IMO-0-MMSI-269057415,HE7415,,269057415,50,190
Viking Buri,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-BURI-IMO-0-MMSI-269057460,HE7460,,269057460,50,190
Viking Delling,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-DELLING-IMO-0-MMSI-269057462,HE7462,,269057462,50,190
Viking Egil,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-EGIL-IMO-0-MMSI-269057551,HE7551,,269057551,50,190
Viking Eir,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-EIR-IMO-0-MMSI-269057494,HE7494,,269057494,50,190
Viking Eistla,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-EISTLA-IMO-0-MMSI-269057466,HE7466,,269057466,50,190
Viking Embla,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-EMBLA-IMO-0-MMSI-269057407,HE7407,,269057407,50,190
Viking Foresti,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-FORSETI-IMO-0-MMSI-269057418,HE7418,,269057418,50,190
Viking Freya,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-FREYA-IMO-0-MMSI-269057390,HE7390,,269057390,50,190
Viking Gefjon,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-GEFJON-IMO-0-MMSI-269057516,HE7516,,269057516,50,190
Viking Heimdal,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-HEIMDAL-IMO-0-MMSI-269057461,HE7461,,269057461,50,190
Viking Helgi,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-HELGI-IMO-0-MMSI-273367610,UAWG9,8422606,273367610,120,250
Viking Hermod,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-HERMOD-IMO-0-MMSI-269057459,HE7459,,269057459,50,190
Viking Hiln,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-HLIN-IMO-0-MMSI-269057478,HE7478,,269057478,50,190
Viking Idi,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-IDI-IMO-0-MMSI-269057469,HE7469,,269057469,50,190
Viking Idun,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-IDUN-IMO-0-MMSI-269057388,HE7388,,269057388,50,190
Viking Ingvar,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-INGVAR-IMO-0-MMSI-273369610,UAQG-5,,273369610,114,199
Viking Ingvi,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-INGVI-IMO-0-MMSI-269057465,HE7465,,269057465,50,190
Viking Jarl,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-JARL-IMO-0-MMSI-269057420,HE7420,,269057420,50,190
Viking Jupiter,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-JUPITER-IMO-9796262-MMSI-257058920,LAYP7,9796262,257058920,465,928
Viking Kadlin,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-KADLIN-IMO-0-MMSI-269057547,HE7547,,269057547,50,190
Viking Kara,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-KARA-IMO-0-MMSI-269057477,HE7477,,269057477,50,190
Viking Kvasir,Viking Ocean Cruises,https://www.vesselfinder.com/de/vessels/VIKING-KVASIR-IMO-0-MMSI-269057476,HE7476,,269057476,50,190
Viking Legend,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-LEGEND-IMO-0-MMSI-269057308,HE7308,,269057308,45,189
Viking Lif,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-LIF-IMO-0-MMSI-269057464,HE7464,,269057464,50,190
Viking Lofn,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-LOFN-IMO-0-MMSI-269057496,HE7496,,269057496,50,190
Viking Magni,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-MAGNI-IMO-0-MMSI-269057449,HE7449,,269057449,50,190
Viking Mani,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-MANI-IMO-0-MMSI-269057489,HE7489,,269057489,50,190
Viking Mimir,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-MIMIR-IMO-0-MMSI-269057518,HE7518,,269057518,50,190
Viking Modi,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-MODI-IMO-0-MMSI-269057499,HE7499,,269057499,50,190
Viking Njord,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-NJORD-IMO-0-MMSI-269057387,HE7387,,269057387,50,190
Viking Odin,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-ODIN-IMO-0-MMSI-269057389,HE7389,,269057389,50,190
Viking Orion,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-ORION-IMO-9796250-MMSI-257034130,LAYQ7,9796250,257034130,465,928
Viking Prestige,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-PRESTIGE-IMO-0-MMSI-269057374,HE7374,,269057374,45,188
Viking Rinda,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-RINDA-IMO-0-MMSI-269057419,HE7419,,269057419,50,190
Viking Rolf,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-ROLF-IMO-0-MMSI-269057548,HE7548,,269057548,50,190
Viking Rurik,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-RURIK-IMO-0-MMSI-273368610,UAWG-8,,273368610,105,196
Viking Sea,Viking Ocean Cruises,https://en.wikipedia.org/wiki/MV_Viking_Sea_(2015),LAWP7,9725421,258215000,550,930
Viking Sigyn,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-SIGYN-IMO-0-MMSI-269057695,HE7695,,269057695,50,190
Viking Sineus,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-SINEUS-IMO-7823994-MMSI-272582000,UUAO8,7823994,272582000,110,196
Viking Skadi,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-SKADI-IMO-0-MMSI-269057414,HE7414,,269057414,50,190
Viking Skirnir,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-SKIRNIR-IMO-0-MMSI-269057498,HE7498,,269057498,50,190
Viking Sky,Viking Ocean Cruises,https://en.wikipedia.org/wiki/MV_Viking_Sky,LAYU7,9650420,259186000,550,930
Viking Spirit,Viking Ocean Cruises,https://www.marinetraffic.com/en/ais/details/ships/shipid:128528/mmsi:211162230/imo:8643444/vessel:VIKING_SPIRIT,DC5428,,211162230,40,150
Viking Star,Viking Ocean Cruises,https://en.wikipedia.org/wiki/MV_Viking_Star,LAIW6,9650418,257903000,602,930
Viking Sun,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-SUN-IMO-9725433-MMSI-257179000,LAYT7,9725433,257179000,465,928
Viking Tialfi,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-TIALFI-IMO-0-MMSI-269057549,HE7549,,269057549,50,190
Viking Tor,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-TOR-IMO-0-MMSI-269057416,HE7416,,269057416,50,190
Viking Truvor,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-TRUVOR-IMO-0-MMSI-273360710,UAWG2,,273360710,105,204
Viking Var,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-VAR-IMO-0-MMSI-269057417,HE7417,,269057417,50,190
Viking Ve,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-VE-IMO-0-MMSI-269057517,HE7517,,269057517,50,190
Viking Vidar,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-VIDAR-IMO-0-MMSI-269057497,HE7497,,269057497,50,190
Viking Vilhjalm,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-VILHJALM-IMO-0-MMSI-269057546,HE7546,,269057546,50,190
Viking Vili,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-VILI-IMO-0-MMSI-269057519,HE7519,,269057519,50,190
Vking Gullveig,Viking Ocean Cruises,https://www.vesselfinder.com/vessels/VIKING-GULLVEIG-IMO-0-MMSI-269057470,HE7470,,269057470,50,190
Aegean Odyssey,Voyages to Antiquity,https://en.wikipedia.org/wiki/MV_Aegean_Odyssey,HOBW,7225910,374757000,180,396
Legacy,Windjammer Barefoot Cruises,https://www.vesselfinder.com/vessels/LEGACY-IMO-9265847-MMSI-311427000,C6S2077,9265847,311427000,35,86
Star Breeze,Windstar Cruises,https://en.wikipedia.org/wiki/Star_Breeze,C6FR4,8807997,311083000,164,312
Star Legend,Windstar Cruises,https://en.wikipedia.org/wiki/Star_Legend_(ship),C6FR6,9008598,311085000,140,254
Star Pride,Windstar Cruises,https://en.wikipedia.org/wiki/Star_Pride,C6FR5,8707343,311084000,164,254
Wind Song,Windstar Cruises,https://en.wikipedia.org/wiki/Msy_Wind_Song,C6CB2,8420880,309535000,92,159
Wind Spirit,Windstar Cruises,https://en.wikipedia.org/wiki/Msy_Wind_Spirit,C6CY9,8603509,309056000,90,178
Wind Star,Windstar Cruises,https://en.wikipedia.org/wiki/Msy_Wind_Star,C6CA9,8420878,309163000,90,178
Wind Surf,Windstar Cruises,https://en.wikipedia.org/wiki/Msy_Wind_Surf,C6IO6,8700785,309242000,214,386
World Discoverer,Adventurer Cruises,https://en.wikipedia.org/wiki/MS_World_Discoverer,ELDU3,7349053,,80,137
Magellan Explorer,Antarctica 21,https://www.vesselfinder.com/vessels/MAGELLAN-EXPLORER-IMO-9822516-MMSI-311000728,C6DN6,9822516,311000728,60,100
,,,,,,,
Taras Shevchenko,Black Sea Shipping Company,https://en.wikipedia.org/wiki/MS_Taras_Shevchenko_(1967),UTVT,6508195,,370,750
Skorpios II,Cruceros Skorpios,https://www.vesselfinder.com/vessels/SKORPIOS-II-IMO-8006397-MMSI-725002200,CBKP,8006397,725002200,34,106
Skorpios III,Cruceros Skorpios,https://en.wikipedia.org/wiki/MV_Skorpios_III,CBSK,9143908,725001100,34,90
Enchanted Isle,Commodore Cruise Line,https://www.vesselfinder.com/vessels/ENCHANTED-ISLE-IMO-0-MMSI-235107926,2HZQ8,,235107926,200,533
Enchanted Capri,Commodore Cruise Line,https://en.wikipedia.org/wiki/MS_Enchanted_Capri,XCJP7,7359474,345070213,155,937
Doulos Phos,Clyde-Mallory Line,https://en.wikipedia.org/wiki/MV_Doulos_Phos,9HKF,5119105,256056000,350,414
Maestro,Blue Monarch Shipping,https://en.wikipedia.org/wiki/MS_Renaissance,9LY2227, 6604834,667003030,230,474
National Geographic Venture,Lindblad Expeditions,https://www.vesselfinder.com/vessels/NAT-GEO-VENTURE-IMO-9799044-MMSI-369358000,,9799044,369358000,35,100
Celebrity Xploration,Celebrity Cruises,https://www.vesselfinder.com/vessels/CELEBRITY-XPLORATION-IMO-9455882-MMSI-0,,9455882,,10,16
