ship_name,operator,url,callsign,IMO_number,MMSI_number,crew,capacity
Marella Discovery 2,Marcella Cruises,https://www.vesselfinder.com/vessels/MARELLA-DISCOVERY-2-IMO-9070620-MMSI-311378000,C6SL5,9070620,311378000,771,2198
Marella Dream,Marcella Cruises,https://www.vesselfinder.com/vessels/MARELLA-DREAM-IMO-8407735-MMSI-248481000,9HA2381,8407735,248481000,600,1773
Thomson Spirit,Marcella Cruises,https://www.cruisemapper.com/ships/Thomson-Spirit-597,9HA2336,8024014,248368000,520,1350
Marella Celebration,Marella Cruises,https://en.wikipedia.org/wiki/MS_Thomson_Celebration,9HUI9,8027298,249544000,520,1350
Marella Discovery,Marella Cruises,https://en.wikipedia.org/wiki/Marella_Discovery,9HA4324,9070632,249639000,760,2074
Marella Explorer,Marella Cruises,https://en.wikipedia.org/wiki/Marella_Explorer,9HJH9,9106297,249051000,909,2681
Marella Spirit,Marella Cruises,https://en.wikipedia.org/wiki/MS_Marella_Spirit,T8A3049, 8024014,511885000,520,1350
SALAMIS FILOXENIA,Metropolis Tur,https://en.wikipedia.org/wiki/MS_Van_Gogh,5BUY2,7359400,209167000,216,795
Armonia,MSC Cruises,https://en.wikipedia.org/wiki/MSC_Armonia,H8EW,9210141,357281000,721,2679
Bellissima,MSC Cruises,https://www.vesselfinder.com/vessels/MSC-BELLISSIMA-IMO-9760524-MMSI-248992000,9HA4902,9760524,248992000,1400,5386
Divina,MSC Cruises,https://en.wikipedia.org/wiki/MSC_Divina,3FFA5,9585285,373178000,1388,4202
Fantasia,MSC Cruises,https://en.wikipedia.org/wiki/MSC_Fantasia,3ETR7,9359791,370648000,1637,3959
Grandiosa,MSC Cruises,https://www.vesselfinder.com/vessels/MSC-GRANDIOSA-IMO-9803613-MMSI-215325000,9HA5063,9803613,215325000,1700,6334
IN WARSHIP P 30,MSC Cruises,https://en.wikipedia.org/wiki/MSC_Melody,AWIC, 7902295,419000934,535,1600
Lirica,MSC Cruises,https://en.wikipedia.org/wiki/MSC_Lirica,HOPW,9246102,356042000,721,2679
Magnifica,MSC Cruises,https://en.wikipedia.org/wiki/MSC_Magnifica,3FLO4,9387085,352594000,1038,4083
